Id,Label,Eingehende Trans.,Einnahmen,Ausgehende Trans.,Ausgaben,AVG Rang,Median Rang,Cup,Liga
1,Bayern Munich ,12.0,16350000.0,17.0,119649999.0,1.5,1.0,3.0,4.0
13,FC Schalke 04,12.0,11025000.0,13.0,50550000.0,4.5,4.5,2.0,0.0
11,Bor. Dortmund,9.0,39250000.0,17.0,96525000.0,4.5,4.5,0.0,1.0
2,Bay. Leverkusen,16.0,68510000.0,22.0,60795000.0,5.833333333333333,4.5,0.0,0.0
6,Hertha BSC,8.0,12400000.0,8.0,17275000.0,6.0,5.0,0.0,0.0
12,SC Freiburg,5.0,4222000.0,5.0,1550000.0,13.25,14.5,0.0,0.0
9,Werder Bremen,13.0,41759999.0,23.0,35725000.0,4.166666666666667,4.5,1.0,1.0
5,1.FC K'lautern,5.0,10650000.0,16.0,15323000.0,12.0,13.0,0.0,0.0
7,VfL Wolfsburg,6.0,15550000.0,28.0,45687000.0,10.166666666666666,9.5,0.0,0.0
19,1. FC K̦ln,5.0,3525000.0,21.0,10025000.0,15.5,17.0,0.0,0.0
4,1860 Munich,7.0,14749999.0,8.0,6475000.0,11.75,10.5,0.0,0.0
15,Hansa Rostock,3.0,6025000.0,5.0,3590000.0,13.0,13.0,0.0,0.0
3,Hamburger SV,13.0,23500000.0,25.0,41369999.0,7.833333333333333,8.0,0.0,0.0
20,Energie Cottbus,5.0,1950000.0,5.0,1420000.0,15.0,14.0,0.0,0.0
8,VfB Stuttgart,12.0,34150000.0,14.0,26100000.0,7.166666666666667,6.5,0.0,0.0
10,Unterhaching,2.0,550000.0,3.0,400000.0,16.0,16.0,0.0,0.0
14,E. Frankfurt,2.0,2500000.0,9.0,4625000.0,15.666666666666666,16.0,0.0,0.0
21,VfL Bochum,8.0,13530000.0,8.0,4810000.0,12.0,12.5,0.0,0.0
22,Bor. M'gladbach,8.0,4463000.0,21.0,16830000.0,12.0,12.0,0.0,0.0
23,1.FC Nuremberg,5.0,4095000.0,12.0,6085000.0,13.5,14.5,0.0,0.0
24,FC St. Pauli,1.0,50000.0,1.0,1380000.0,18.0,18.0,0.0,0.0
25,Hannover 96,8.0,7825000.0,19.0,16380000.0,11.75,11.5,0.0,0.0
17,Arm. Bielefeld,10.0,10675000.0,17.0,5517000.0,14.0,13.0,0.0,0.0
26,1.FSV Mainz 05,4.0,5550000.0,11.0,3528000.0,11.0,11.0,0.0,0.0
18,MSV Duisburg,1.0,600000.0,7.0,1763000.0,18.0,18.0,0.0,0.0
-1,Out,,,2399.0,8052271143.0,,,,
-2,In,2554.0,8292194143.0,,,,,,
